Date,Open,High,Low,Close,Adj Close,Volume
2019-01-30,2183.489990,2206.199951,2177.879883,2206.199951,2206.199951,480400
2019-01-31,2222.879883,2222.879883,2201.219971,2204.850098,2204.850098,545200
2019-02-01,2211.929932,2218.780029,2201.409912,2203.459961,2203.459961,479400
2019-02-07,2215.770020,2215.790039,2196.770020,2203.419922,2203.419922,427800
2019-02-08,2192.010010,2192.479980,2171.959961,2177.050049,2177.050049,391000
2019-02-11,2180.540039,2181.580078,2167.360107,2180.729980,2180.729980,406100
2019-02-12,2182.709961,2195.050049,2178.590088,2190.469971,2190.469971,429900
2019-02-13,2200.000000,2203.709961,2194.750000,2201.479980,2201.479980,422000
2019-02-14,2195.919922,2225.850098,2186.090088,2225.850098,2225.850098,573400
2019-02-15,2210.939941,2210.939941,2187.709961,2196.090088,2196.090088,400600
2019-02-18,2207.360107,2217.320068,2203.000000,2210.889893,2210.889893,314400
2019-02-19,2208.959961,2213.870117,2193.340088,2205.629883,2205.629883,389100
2019-02-20,2216.739990,2234.679932,2213.830078,2229.760010,2229.760010,374300
2019-02-21,2224.260010,2234.310059,2213.189941,2228.659912,2228.659912,382500
2019-02-22,2222.320068,2230.500000,2217.080078,2230.500000,2230.500000,409300
2019-02-25,2241.129883,2241.760010,2224.639893,2232.560059,2232.560059,339200
2019-02-26,2230.370117,2235.699951,2221.760010,2226.600098,2226.600098,332000
2019-02-27,2234.459961,2237.770020,2228.159912,2234.790039,2234.790039,301500
2019-02-28,2231.580078,2233.929932,2195.439941,2195.439941,2195.439941,510000
2019-03-04,2210.969971,2216.020020,2188.560059,2190.659912,2190.659912,373200
2019-03-05,2183.350098,2185.739990,2171.330078,2179.229980,2179.229980,313100
2019-03-06,2177.110107,2179.010010,2168.459961,2175.600098,2175.600098,328900
2019-03-07,2173.189941,2181.189941,2155.189941,2165.790039,2165.790039,292600
2019-03-08,2152.800049,2159.669922,2137.439941,2137.439941,2137.439941,313300
2019-03-11,2140.290039,2145.310059,2125.540039,2138.100098,2138.100098,272100
2019-03-12,2154.610107,2161.689941,2150.959961,2157.179932,2157.179932,355300
2019-03-13,2152.659912,2154.110107,2134.159912,2148.409912,2148.409912,285600
2019-03-14,2154.350098,2158.340088,2142.310059,2155.679932,2155.679932,341000
2019-03-15,2152.959961,2181.770020,2152.590088,2176.110107,2176.110107,387100
2019-03-18,2179.689941,2183.899902,2172.340088,2179.489990,2179.489990,258000
2019-03-19,2183.030029,2183.760010,2171.050049,2177.620117,2177.620117,319700
2019-03-20,2171.409912,2177.189941,2152.209961,2177.100098,2177.100098,317600
2019-03-21,2183.110107,2200.320068,2173.699951,2184.879883,2184.879883,342700
2019-03-22,2192.719971,2195.419922,2178.770020,2186.949951,2186.949951,333600
2019-03-25,2158.800049,2159.250000,2143.699951,2144.860107,2144.860107,307100
2019-03-26,2152.979980,2153.899902,2143.629883,2148.800049,2148.800049,301300
2019-03-27,2147.189941,2152.909912,2132.419922,2145.620117,2145.620117,363200
2019-03-28,2131.250000,2136.399902,2120.929932,2128.100098,2128.100098,288000
2019-03-29,2138.449951,2143.300049,2124.070068,2140.669922,2140.669922,364600
2019-04-01,2153.310059,2171.489990,2153.310059,2168.280029,2168.280029,263300
2019-04-02,2177.199951,2181.370117,2171.840088,2177.179932,2177.179932,257500
2019-04-03,2176.810059,2203.290039,2172.830078,2203.270020,2203.270020,358600
2019-04-04,2201.040039,2216.149902,2198.659912,2206.530029,2206.530029,431000
2019-04-05,2206.360107,2214.820068,2205.260010,2209.610107,2209.610107,517200
2019-04-08,2217.659912,2217.870117,2202.489990,2210.600098,2210.600098,347900
2019-04-09,2212.320068,2221.620117,2203.540039,2213.560059,2213.560059,414800
2019-04-10,2206.199951,2225.020020,2203.820068,2224.389893,2224.389893,399700
2019-04-11,2227.689941,2230.409912,2217.179932,2224.439941,2224.439941,402000
2019-04-12,2221.100098,2233.449951,2212.879883,2233.449951,2233.449951,449600
2019-04-15,2242.310059,2251.219971,2240.290039,2242.879883,2242.879883,404200
2019-04-16,2241.060059,2249.889893,2235.719971,2248.629883,2248.629883,569100
2019-04-17,2249.050049,2252.050049,2242.010010,2245.889893,2245.889893,452500
2019-04-18,2248.800049,2250.110107,2210.429932,2213.770020,2213.770020,573300
2019-04-19,2223.419922,2225.370117,2215.580078,2216.149902,2216.149902,0
2019-04-22,2218.500000,2227.939941,2207.250000,2216.649902,2216.649902,494000
2019-04-23,2217.610107,2223.919922,2212.139893,2220.510010,2220.510010,481200
2019-04-24,2229.750000,2229.750000,2190.290039,2201.030029,2201.030029,575100
2019-04-25,2195.469971,2200.889893,2187.439941,2190.500000,2190.500000,441100
2019-04-26,2178.129883,2186.520020,2168.149902,2179.310059,2179.310059,570200
2019-04-29,2183.409912,2216.429932,2181.820068,2216.429932,2216.429932,380800
2019-04-30,2213.429932,2215.770020,2186.330078,2203.590088,2203.590088,381400
2019-05-02,2192.939941,2217.030029,2191.300049,2212.750000,2212.750000,369100
2019-05-03,2209.439941,2211.360107,2192.360107,2196.320068,2196.320068,617900
2019-05-07,2172.389893,2179.510010,2160.439941,2176.989990,2176.989990,484100
